address,block,validity,multisig,option,importance
NCBW2TT2NYXUGS3HYXUDOHZI5LD2KBZ6AY3NJPNZ,1538772,Valid,false,yes,0
NC5KHFU67AY2LHWCVKX7HGXDO4ESQRF5ESPXBNLX,1538762,Valid,false,yes,0.00001321009437690263
NCU4PCRUJM4LXBX43FWDXBE577AIQDCYCLRSZRE2,1538627,Valid,false,yes,0
NBMEJQUK4ZBNR6NSM6SQHNIOHRFAQ2BXQBASBJ2H,1538538,Valid,false,yes,0.00001656876656633009
NBC2HPMIQOJNMP6CEVMFITFSEIE3TUOOVB4ASLLW,1538514,Valid,false,yes,0
NDVJZMUX42E3Y2YYKNKROC4B4DNK7TVHQUG6FHLZ,1538465,Valid,false,yes,0
NDU6AB4BP4SBEVLWSE2ESR65AKC3XRJXMH2RFZUC,1538436,Valid,false,yes,0.0002983842819617338
NBIHTV2VI6H4C3Q4MC45LEIXSHUABLTHNGB5RMH4,1538306,Valid,false,yes,0.00009997639923324758
NCE6VFDGU5Y5SSUQ7SDJ4PPX6VKNXAQOFAHHV5MV,1538266,Valid,false,yes,0.000009650682547853627
NAAZWYAXCVEPATLTCQJ4H44ZK3WYEDUJGP2HELYW,1538256,Valid,false,yes,0
NAN33UIXJTCJTRTQDYIFF3OKRIGZFPYTXTYT4NOO,1538141,Valid,true,yes,0.00013365390481750745
NC4KMP2XHQELXFQ7QN672IEUAT3QZ7PE2AGRQ2FK,1538086,Valid,false,yes,0.000009423254209380369
NDPZQEIFCAQ6CIDANUHZIHB2GCL4VGBAF6DMMZFD,1537925,Valid,false,yes,0.00001664460809415889
NACC5RGRRVVWZ2FUBOGPOYB3XSV4EABV6S6Z6BCG,1537911,Valid,false,yes,0.00005419001454003469
NBKSILS4Y2KCM5TGUPYHQYXDUNL6HIZQPRLFWDE6,1537815,Valid,false,yes,0
NC753ARFUK2ZTVYEK7HEHUQCKBYTW52BPCMM26KD,1537799,Valid,false,yes,0.00014764609084563248
